,corp_code,corp_name,corp_eng_name,stock_code,modify_date
99875,01644014,갤러리티,Gallery-T, ,20240528
99876,01527984,토스증권,"Toss Securities Co., Ltd.", ,20241010
99877,01869844,아이바이오코리아,EYEBIOKOREA INC., ,20241011
99878,01873458,엠에스경산제일차,MS Gyeongsan Primary Inc., ,20241011
99879,01873476,엠에스포항제일차,MS Pohang First Inc., ,20241011
99880,01873494,서초내곡제이차,"Seocho Naegok 2nd  Co., Ltd", ,20241011
99881,01874369,글로벌트레이드,globaltrade inc., ,20241018
99882,01874642,찬스공평유동화,"chance fair co ., ltd", ,20241021
99883,01874651,에스지엠에스제이십사차,"sgms 24th co., ltd", ,20241021
99884,01874703,케이아이에스재팬솔라,KISJAPANSOLA, ,20241021
99885,00258102,지엔코,"Great New wave Coming Co., Ltd.",065060,20241021
99886,00111689,아진전자부품,"AJIN ELECTRONIC COMPONENTS CO.,LTD",009320,20241022
99887,00125965,KH 미래물산,"KH Mirae Corporation Co., Ltd.",111870,20241022
99888,00797364,KC코트렐,"KC Cottrell Co., Ltd.",119650,20241022
99889,00130408,서산,SeoSanCo.Ltd.,079650,20241022
99890,01142400,이루다,"ILOODA Co.,Ltd",164060,20241022
99891,00364795,레드로버,"REDROVER CO.,LTD",060300,20240522
99892,01836226,그랜드코리아,GRAND KOREA, ,20240528
99893,01848869,다현회계법인,DAHYUN Accounting Corporation, ,20240529
99894,00654315,메르뱅,Mervin Co.Ltd, ,20240529
99895,01850615,더블유케이2406유동화전문유한회사,"WK2406 Securitization Specialty Co., Ltd.", ,20240610
99896,01850624,엠케이비제이십차유동화전문유한회사,"MKB Twentieth Securitization Specialty Co., Ltd.", ,20240610
99897,01849725,쑥쑥컴퍼니,SSUKSSUK COMPANY INC., ,20240617
99898,01851711,에스엘제삼차,"SL3rd Co.,Ltd.", ,20240617
99899,01851720,에스엘제육차,"SL6th Co.,Ltd.", ,20240617
99900,01851739,아델라제구차,"Adela Fourth co., ltd.", ,20240617
99901,01851748,신성새마을금고,SINSUNG, ,20240617
99902,01834185,한도,"HANDO Co.,Ltd", ,20240508
99903,01841671,에스씨종합건설,"SC Construction Co.,Ltd.", ,20240508
99904,01840797,메타스크,METASK CO.LTD, ,20240508
99905,01840566,대덕그린에너지,"Deadeok Green Energy Co.,Ltd", ,20240508
99906,01841495,위드지엠제이십차,WITHGM20 Co.ltd, ,20240508
99907,01841051,더블유에이치지코리아,WHG KOREA, ,20240509
99908,01351770,엘디카본,"LD CARBON Co., Ltd.", ,20240509
99909,01839782,한원푸드시스템,"HANWON FOOD SYSTEM.CO.,LTD", ,20240509
99910,01841769,김종구참푸드,"Kim Jong-gu Cham Food Co., Ltd", ,20240509
99911,01841848,에스엠넷,SMNET CORP., ,20240509
99912,00628569,하나대체투자자산운용,"Hana Alternative Asset Management Co.,Ltd.", ,20240902
99913,01865839,네오하우스,Neohouse inc., ,20240903
99914,01864779,부흥,Buheung Corp., ,20240903
99915,01865051,예장디앤씨,YEJANG D&C, ,20240903
99916,01864609,에스오케이건설,sok, ,20240903
99917,00872294,리뉴랜드경주,"renewland gyeongju Co., Ltd.", ,20240903
99918,01863497,대웅건설,DEA WOONG, ,20240904
99919,01673733,태성상사,TS.co, ,20240904
99920,01366392,신영브라이튼여의도,YeouidoMBCdevelopmentPFV. Ltd, ,20241113
99921,01858811,티씨노바이오사이언스,Txinno Bioscience Inc., ,20241115
99922,01879258,창신신용협동조합,chang-shin credit union, ,20241115
99923,01879267,청주서원신용협동조합,cheongjuseowoncreditunion, ,20241115
99924,01879276,구덕신용협동조합,gudeok Credit unions, ,20241115
99925,00366979,세원이엔아이,"SEWON Engineering Industry CO.,LTD", ,20241119
99926,00654324,비스코,BISCO.INC, ,20241119
99927,01186422,에이치에스효성오토웍스,"HS HYOSUNG AUTOWORKS Co., LTD", ,20241120
99928,01879832,성우회계법인,SungWoo Accounting Corporation, ,20241120
99929,01880032,"ShinNipponBiomedicalLaboratories,Ltd.","Shin Nippon Biomedical Laboratories, Ltd.", ,20241121
99930,00871444,비앤에프테크놀로지,BNF Technology Inc., ,20241126
99931,00129235,삼화왕관,"SAMHWA CROWN & CLOSURE CO.,LTD",004450,20241128
99932,00571881,월드오토트레이딩,world auto trading, ,20240517
99933,01654367,경남디앤아이,Kyung Nam D&I Corp, ,20240517
99934,00870436,인터내셔널오토트레이딩,International Auto Trading, ,20240517
99935,00472021,유진정밀,YUJIN PRECISION.CO.LTD, ,20240517
99936,01845853,배터리이노베이션,Battery Innovation, ,20240517
99937,01845844,혁신광고기획,Hyeoksin Advertiement Plan, ,20240517
99938,00531838,글로벌오토트레이딩,"GLOBAL AUTO TRADING CO., LTD.", ,20240517
99939,01358898,파트론이에스엘,"PARTRON ESL Co., Ltd", ,20240517
99940,01843697,일강메디케어,ILGANG MEDICARE, ,20240517
99941,01848124,아진푸드뱅크,"ajinfood Co., Ltd", ,20240527
99942,01484643,마켓다원,osanmart, ,20240527
99943,01847499,건영주류,Gun Young Liquor Wholesaler Co.LTD, ,20240527
99944,01848319,센트럴파트너스,"central partners co.,ltd", ,20240528
99945,01750944,삼일로지스,sk logis.ltd., ,20240408
99946,01628946,케이티클라우드,"kt cloud Co., Ltd.", ,20240409
99947,01817452,휴먼씨,"HUMANC CO.,LTD.", ,20240409
99948,01286661,모아이게임즈,MOAI GAMES Corporation., ,20240409
99949,01822001,에스아이건설,SI Engineering&Construction, ,20240409
99950,00618650,잉글우드랩코리아,"Englewood Lab Korea Co., Ltd.", ,20240409
99951,01753242,충주드림파크개발,"Chungju Dreampark Development Co.,Ltd", ,20240411
99952,01135279,대흥토건,daeheung construction, ,20240411
99953,00132558,그린산업,"Green Industrial Co., Ltd.", ,20240411
99954,01686384,재경,"HK&C DEVELOPMENT CO.,LTD", ,20240411
99955,00610746,케이지모빌리티대구서비스센터,kgm daeguservice center, ,20240411
99956,00234193,울산방송,ULSAN BROADCASTING CORP., ,20240430
99957,01832017,아랑미트,"ARANGMEAT CO., LTD", ,20240430
99958,01831489,직동물류,"Jik-dong logistics Co., Ltd.", ,20240430
99959,01809596,금성백조카이트제이십사호위탁관리부동산투자회사,"KAIT24 REIT Co., Ltd", ,20240430
99960,01837766,지엠네트웍스,"GMNETWORKS CO., LTD.", ,20240430
99961,01830684,에스에이치네트웍스,shnetworks, ,20240430
99962,01768563,아케마코리아홀딩,"Arkema Korea Holding Co., Ltd.", ,20240430
99963,01834060,상지그린에너지,"Sangji Green Energy Co., Ltd", ,20240430
99964,01826414,마뗑킴,matinkim Inc., ,20240430
